50.00, gr1, 1.00, 0.00, 0.00, 0.00, 2.00, 5.00, 0.01, 100.00, 60.00, 0.31, 216.00, 21.69, 41.32, 411.43, 1.54, 593.18, 27391.86, 7.17, 2.39, Passive
50.00, gr1, 1.00, 0.00, 0.00, 0.00, 2.00, 10.00, 0.01, 100.00, 60.00, 0.31, 226.10, 48.34, 92.08, 430.66, 3.07, 633.95, 28608.87, 7.33, 4.08, Passive
50.00, gr1, 1.00, 0.00, 0.00, 0.00, 2.00, 15.00, 0.01, 100.00, 60.00, 0.31, 239.53, 81.66, 155.53, 456.24, 4.61, 689.42, 30227.09, 7.52, 5.78, Active
50.00, gr1, 1.00, 0.00, 0.00, 0.00, 2.00, 20.00, 0.01, 100.00, 60.00, 0.31, 255.72, 120.20, 228.94, 487.08, 6.14, 758.05, 32176.55, 7.75, 7.48, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 100.00, 60.00, 0.31, 1.21, 5.53, 9.39, 2.05, 0.00, 0.38, 455.34, 0.63, 0.89, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.01, 100.00, 60.00, 0.31, 5.73, 20.08, 34.07, 9.73, 1.54, 2.16, 1108.18, 1.28, 2.10, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.00, 10.00, 0.01, 100.00, 60.00, 0.31, 14.49, 44.75, 75.93, 24.59, 3.07, 9.27, 2389.37, 1.96, 3.59, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.00, 15.00, 0.01, 100.00, 60.00, 0.31, 26.14, 75.59, 128.25, 44.36, 4.61, 23.20, 3957.34, 2.58, 5.09, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.01, 100.00, 60.00, 0.31, 40.19, 111.27, 188.78, 68.19, 6.14, 44.92, 5767.50, 3.14, 6.58, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.01, 100.00, 60.00, 0.31, 4.05, 5.53, 9.39, 6.86, 0.00, 1.25, 836.83, 1.09, 0.89, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.25, 5.00, 0.01, 100.00, 60.00, 0.31, 8.57, 20.08, 34.07, 14.55, 1.54, 4.06, 1541.05, 1.54, 2.10, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.25, 10.00, 0.01, 100.00, 60.00, 0.31, 17.33, 44.75, 75.93, 29.40, 3.07, 12.25, 2780.42, 2.13, 3.59, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.25, 15.00, 0.01, 100.00, 60.00, 0.31, 28.98, 75.59, 128.25, 49.17, 4.61, 27.20, 4328.10, 2.70, 5.09, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.25, 20.00, 0.01, 100.00, 60.00, 0.31, 43.03, 111.27, 188.78, 73.00, 6.14, 49.85, 6127.38, 3.24, 6.58, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.50, 0.00, 0.01, 100.00, 60.00, 0.31, 12.56, 5.53, 9.39, 21.31, 0.00, 7.41, 2118.46, 1.84, 0.89, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.50, 5.00, 0.01, 100.00, 60.00, 0.31, 17.09, 20.08, 34.07, 28.99, 1.54, 11.99, 2747.37, 2.12, 2.10, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.50, 10.00, 0.01, 100.00, 60.00, 0.31, 25.85, 44.75, 75.93, 43.85, 3.07, 22.79, 3918.24, 2.56, 3.59, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.50, 15.00, 0.01, 100.00, 60.00, 0.31, 37.50, 75.59, 128.25, 63.62, 4.61, 40.40, 5424.61, 3.04, 5.09, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.50, 20.00, 0.01, 100.00, 60.00, 0.31, 51.54, 111.27, 188.78, 87.45, 6.14, 65.59, 7199.06, 3.52, 6.58, Active
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.75, 0.00, 0.01, 100.00, 60.00, 0.31, 26.75, 5.53, 9.39, 45.39, 0.00, 24.04, 4037.30, 2.60, 0.89, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.75, 5.00, 0.01, 100.00, 60.00, 0.31, 31.28, 20.08, 34.07, 53.07, 1.54, 30.59, 4626.20, 2.80, 2.10, Passive
50.00, gr1, 2.00, 0.00, 0.00, 0.00, 0.75, 10.00, 0.01, 100.00, 60.00, 0.31, 40.04, 44.75, 75.93, 67.93, 3.07, 44.66, 5748.18, 3.13, 3.59, Passive
